realDate,Date,Adj_Close,Adj_Won,Open,High,Low,Volume
2002.01.08,20020108,5000.0,0.0,5000.0,5000.0,5000.0,174230.0
2002.01.09,20020109,5400.0,400.0,5050.0,5550.0,4820.0,825422.0
2002.01.10,20020110,4800.0,-600.0,5400.0,5430.0,4760.0,268335.0
2002.01.11,20020111,4230.0,-570.0,4500.0,4850.0,4230.0,166838.0
2002.01.14,20020114,3900.0,-330.0,3820.0,4100.0,3800.0,265028.0
2002.01.15,20020115,3940.0,40.0,3760.0,4060.0,3710.0,135844.0
2002.01.16,20020116,4050.0,110.0,3940.0,4180.0,3920.0,140688.0
2002.01.17,20020117,3570.0,-480.0,3960.0,3960.0,3570.0,93011.0
2002.01.18,20020118,3300.0,-270.0,3410.0,3680.0,3210.0,171805.0
2002.01.21,20020121,3200.0,-100.0,3120.0,3330.0,3120.0,82080.0
2002.01.22,20020122,3100.0,-100.0,3350.0,3350.0,3020.0,78551.0
2002.01.23,20020123,3470.0,370.0,3110.0,3470.0,3080.0,139106.0
2002.01.24,20020124,3330.0,-140.0,3480.0,3600.0,3240.0,186631.0
2002.01.25,20020125,3250.0,-80.0,3280.0,3420.0,3140.0,92726.0
2002.01.28,20020128,3640.0,390.0,3600.0,3640.0,3410.0,126766.0
2002.01.30,20020130,4100.0,460.0,4150.0,4450.0,3850.0,511851.0
2002.02.01,20020201,4040.0,-60.0,4820.0,4890.0,4040.0,295399.0
2002.02.04,20020204,3560.0,-480.0,3810.0,4060.0,3560.0,181230.0
2002.02.06,20020206,3830.0,270.0,3980.0,3980.0,3630.0,94164.0
2002.02.08,20020208,3390.0,-440.0,3250.0,3540.0,3250.0,75944.0
2002.02.14,20020214,3300.0,-90.0,3580.0,3600.0,3220.0,199042.0
2002.02.18,20020218,3150.0,-150.0,3210.0,3420.0,3120.0,184566.0
2002.02.20,20020220,2970.0,-180.0,2850.0,3130.0,2850.0,191218.0
2002.02.22,20020222,2950.0,-20.0,2970.0,3060.0,2900.0,135685.0
2002.02.25,20020225,2940.0,-10.0,2900.0,3040.0,2900.0,138886.0
2002.02.27,20020227,3150.0,210.0,3190.0,3380.0,3060.0,756353.0
2002.03.04,20020304,3180.0,30.0,3120.0,3240.0,3090.0,209417.0
2002.03.05,20020305,3350.0,170.0,3210.0,3390.0,3210.0,443201.0
2002.03.06,20020306,3600.0,250.0,3360.0,3600.0,3250.0,528850.0
2002.03.07,20020307,4030.0,430.0,4030.0,4030.0,4000.0,890712.0
2002.03.08,20020308,4030.0,0.0,4180.0,4350.0,3850.0,1260585.0
2002.03.11,20020311,4150.0,120.0,4000.0,4300.0,3820.0,925700.0
2002.03.12,20020312,3880.0,-270.0,4250.0,4250.0,3850.0,466653.0
2002.03.13,20020313,3750.0,-130.0,3620.0,4050.0,3620.0,899917.0
2002.03.14,20020314,3810.0,60.0,3700.0,3850.0,3650.0,249383.0
2002.03.15,20020315,3740.0,-70.0,3850.0,3860.0,3730.0,288878.0
2002.03.18,20020318,3640.0,-100.0,3710.0,3800.0,3640.0,286386.0
2002.03.19,20020319,3750.0,110.0,3710.0,3880.0,3710.0,400992.0
2002.03.20,20020320,3690.0,-60.0,3810.0,3810.0,3660.0,248143.0
2002.03.21,20020321,3640.0,-50.0,3590.0,3690.0,3540.0,256166.0
2002.03.22,20020322,3910.0,270.0,3750.0,3990.0,3720.0,574005.0
2002.03.25,20020325,4080.0,170.0,4000.0,4250.0,3960.0,615164.0
2002.03.26,20020326,3940.0,-140.0,4030.0,4040.0,3840.0,192722.0
2002.03.27,20020327,4250.0,310.0,4000.0,4270.0,3950.0,569556.0
2002.03.28,20020328,4250.0,0.0,4490.0,4750.0,4250.0,1052643.0
2002.03.29,20020329,4760.0,510.0,4310.0,4760.0,4270.0,1216764.0
2002.04.01,20020401,4800.0,40.0,4970.0,5200.0,4600.0,1260631.0
2002.04.03,20020403,5200.0,400.0,5100.0,5440.0,4980.0,613309.0
2002.04.04,20020404,4800.0,-400.0,5010.0,5450.0,4700.0,890393.0
2002.04.08,20020408,4620.0,-180.0,4900.0,4900.0,4550.0,279919.0
